"","Loan_ID","Loan_Status","Male","Female","Married_yes","Married_no","Education_grad","Education_not_grad","Self_Employed_yes","Self_Employed_no","Credit_History_good","Credit_History_bad","Rural","Urban","Semiurban","Dependents","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","loan_granted","monthly_payment","TotalIncome","payment_ratio","prediction"
"1","LP001020","N",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1.21746439364009,3.19410829930711,2.40871785659159,0.279622559015191,FALSE,0.964501710049877,2.59872556471696,0.0407175624530406,TRUE
"2","LP001052","N",1,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.27605954805225,0.445537779938533,0.053754349136221,0.279622559015191,FALSE,-0.111471390599337,-0.0592545283340003,0.0631503228612533,TRUE
"3","LP001086","N",1,0,0,1,0,1,0,1,1,0,0,1,0,0,-0.648458382702631,-0.554035609238776,-1.32592124109016,0.279622559015191,FALSE,-0.741839469767563,-0.864374612441008,0.0674217907227616,TRUE
"4","LP001100","N",1,0,0,1,1,0,0,1,1,0,1,0,0,3,1.1616454913914,0.471167866840515,2.06379895903499,0.279622559015191,FALSE,0.806909690257821,1.31223656878521,0.0573476702508961,TRUE
"5","LP001179","N",1,0,1,0,1,0,0,1,1,0,0,1,0,2,-0.128900623942055,-0.554035609238776,-0.148439487362472,0.279622559015191,FALSE,-0.203852919442956,-0.372941699564923,0.0806373964952821,TRUE
"6","LP001225","N",1,0,1,0,1,0,0,1,1,0,0,0,1,0,0.0527972690082411,1.01623438162267,1.32638614356917,0.279622559015191,FALSE,0.469988820357562,0.510367931171708,0.0694377159835933,TRUE
"7","LP001256","N",1,0,0,1,1,0,0,1,1,0,0,1,0,0,-0.270657718802376,1.06920322788677,0.351098226340182,0.279622559015191,FALSE,0.0243837988765743,0.22842107094885,0.057516339869281,TRUE
"8","LP001421","N",1,0,1,0,1,0,0,1,1,0,1,0,0,0,0.0269339653270278,0.177959672681838,0.339204471252023,0.279622559015191,FALSE,0.0189495912975378,0.106104750478747,0.0630494307537109,TRUE
"9","LP001465","N",1,0,1,0,1,0,0,1,0,0,1,0,0,0,0.110744164597795,0.323880300777124,0.422460756869132,0.279622559015191,FALSE,0.0569890443507928,0.251490857974224,0.0584524864788479,TRUE
"10","LP001469","Y",1,0,0,1,1,0,1,0,0,0,0,1,0,0,2.4165067953166,-0.554035609238776,5.98873813812727,2.1437729524498,TRUE,1.71713945974642,2.03467701348584,0.0671509801976925,FALSE
"11","LP001489","N",0,1,1,0,1,0,0,1,1,0,1,0,0,0,-0.134302453191929,-0.554035609238776,-0.743127241770393,0.279622559015191,FALSE,-0.475563298394778,-0.378051115483294,0.0509127936577206,TRUE
"12","LP001493","N",1,0,1,0,0,1,0,1,1,0,1,0,0,2,-0.196996410849553,-0.0653552856409807,-0.207908262803264,0.279622559015191,FALSE,-0.231023957338138,-0.215943283164056,0.0636471284783896,TRUE
"13","LP001497","N",1,0,1,0,1,0,0,1,1,0,1,0,0,2,-0.0591679190800495,0.157797337652278,0.458142022133607,0.279622559015191,FALSE,0.0732916670879022,0.0155287410167084,0.0721247563352827,TRUE
"14","LP001577","N",0,1,1,0,1,0,0,1,1,0,1,0,0,0,-0.134302453191929,-0.554035609238776,-0.410102099301957,0.279622559015191,FALSE,-0.323405486181758,-0.378051115483294,0.0678837248769607,TRUE
"15","LP001585","Y",0,0,1,0,1,0,0,1,1,0,0,1,0,3,7.58867645617291,-0.554035609238776,6.5834258925352,-0.652452637702113,TRUE,3.63269763135677,6.92686533993375,0.0450772430758135,FALSE
"16","LP001586","N",1,0,1,0,0,1,0,1,1,0,1,0,0,3,-0.30797944816514,-0.554035609238776,-0.778808507034869,-2.51660303113672,FALSE,-0.0516951072299358,-0.542326578798205,0.127768313458262,TRUE
"17","LP001603","N",1,0,1,0,0,1,1,0,1,0,0,0,1,0,-0.17342479230465,-0.302519023107324,-0.707445976505918,0.279622559015191,FALSE,-0.459260675657668,-0.301100215136913,0.0475721784776903,TRUE
"18","LP001644","Y",0,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.774173681608782,1.2557902605332,0.255948185634914,0.279622559015191,TRUE,-0.0190898617557172,-0.16330081612629,0.0781686208821887,FALSE
"19","LP001708","N",0,1,0,1,1,0,0,1,1,0,0,0,1,0,0.752416002764606,-0.554035609238776,0.803060919690202,0.279622559015191,FALSE,0.230883686879959,0.460667249056641,0.0594444444444444,TRUE
"20","LP001788","Y",0,1,0,1,1,0,1,0,0,0,0,1,0,0,-0.317637264096732,-0.554035609238776,-0.291164548420373,0.279622559015191,TRUE,-0.269063410391393,-0.551461595137111,0.097859915936728,FALSE
"21","LP001800","N",1,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.473635545161265,0.123623888449635,-0.0770769568335216,-2.51660303113672,FALSE,0.589541387096363,-0.391985886169762,0.173108786507407,TRUE
"22","LP001813","N",1,0,0,1,1,0,1,0,1,0,0,1,0,0,0.105833410734273,0.926699944711747,-0.31495205859669,-2.51660303113672,FALSE,0.372173083934906,0.51996743986683,0.0642075187004398,TRUE
"23","LP001925","N",0,1,0,1,1,0,1,0,1,0,0,0,1,0,-0.458903283570701,0.0327225135706049,-0.564720915448017,-0.652452637702113,FALSE,-0.28645287464431,-0.419236104401076,0.0764419735927728,TRUE
"24","LP002050","N",1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.752416002764606,-0.554035609238776,0.101329369488855,0.279622559015191,FALSE,-0.0897345602831909,0.460667249056641,0.0430555555555556,TRUE
"25","LP002068","Y",1,0,0,1,1,0,0,1,0,1,1,0,0,0,-0.0796293935113891,-0.554035609238776,-0.196014507715106,0.279622559015191,TRUE,-0.225589749759102,-0.32633763315796,0.0734413486091338,FALSE
"26","LP002086","N",0,1,1,0,1,0,0,1,1,0,0,1,0,0,-0.175225402054608,0.283555630718005,-0.433889609478274,0.279622559015191,FALSE,-0.33427390133983,-0.0372685568064627,0.0450406184486373,TRUE
"27","LP002367","N",0,1,0,1,0,1,0,1,1,0,1,0,0,1,-0.130537541896562,-0.554035609238776,-0.778808507034869,0.279622559015191,FALSE,-0.491865921131887,-0.374490007418975,0.0488493269648285,TRUE
"28","LP002473","N",1,0,1,0,1,0,0,1,1,0,0,0,1,0,0.479705471543711,-0.554035609238776,0.160798144929647,0.279622559015191,FALSE,-0.0625635223880086,0.202719160571588,0.0533290670079727,TRUE
"29","LP002522","Y",0,1,0,1,1,0,1,0,0,0,0,1,0,0,-0.475272463115772,-0.554035609238776,-0.636083445976967,0.279622559015191,TRUE,-0.42665543018345,-0.700563641482313,0.103333333333333,FALSE
"30","LP002588","Y",1,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.127427397782998,0.422299834480736,-0.421995854390116,-5.12641358194517,TRUE,17.1638745031575,0.0708033314063626,1.23630045442395,FALSE
"31","LP002648","N",1,0,1,0,1,0,0,1,1,0,0,0,1,0,-0.535838427432538,1.72396651460941,-0.909639813004611,-2.51660303113672,FALSE,-0.171247673968737,0.274250983428787,0.0442120155626295,TRUE
"32","LP002683","N",1,0,0,1,1,0,0,1,1,0,0,0,1,0,-0.117933273646857,0.100385942991838,0.458142022133607,0.279622559015191,FALSE,0.0732916670879022,-0.0660670828918288,0.0778855545451484,TRUE
"33","LP002732","Y",1,0,0,1,0,1,0,0,1,0,1,0,0,0,-0.467087873343237,0.143786223479195,-0.24358952806774,0.279622559015191,TRUE,-0.247326580075247,-0.376657638414648,0.0762195121951219,FALSE
"34","LP002862","N",1,0,1,0,0,1,0,1,1,0,0,0,1,2,0.118110295393077,0.00128294030417325,0.481929532309924,2.1437729524498,FALSE,-0.169889122073978,0.112297981894955,0.0502688172043011,TRUE
"35","LP002868","Y",1,0,1,0,1,0,0,1,1,0,0,1,0,2,-0.36739956991375,-0.396496008414592,-0.457677119654591,-4.00792334588441,TRUE,1.5832250586916,-0.527153161828496,0.355169692186267,FALSE
